date,BASIC INDUSTRIES MOVE-AVG,HEALTH CARE MOVE-AVG,CONSUMER DURABLES MOVE-AVG,TECHNOLOGY MOVE-AVG,CONSUMER SERVICES MOVE-AVG,ENERGY MOVE-AVG,MISCELLANEOUS MOVE-AVG,FINANCE MOVE-AVG,CONSUMER NON-DURABLES MOVE-AVG,CAPITAL GOODS MOVE-AVG,PUBLIC UTILITIES MOVE-AVG,TRANSPORTATION MOVE-AVG
2000-03-31,592974.4408317924,1368719.5895315218,305539.95140780794,3329918.825793658,880135.0734949766,1247111.327105189,1706146.4640118054,456946.05252530635,876070.0995534768,506983.90900760225,740973.8143577006,793370.300843271
2000-04-03,594607.7279982367,1365777.0683928162,306105.15299201536,3335181.7424688,879360.6864086166,1249204.351124721,1697185.2482013828,459041.81120491755,879850.6969206288,507156.40608410275,739279.0371308171,795954.6174039033
2000-04-04,601931.4040304694,1374591.6171306896,307744.1511489695,3362986.042191433,882257.8830735176,1260342.586857681,1726097.9996524008,460498.00101126806,887077.5971394058,510375.6788742365,742232.0557183486,798179.3278286138
2000-04-05,601743.6433209248,1378135.6139234917,307671.67159617797,3348893.0099582607,877005.5642349239,1259620.0853358086,1714102.2899686305,464631.5454336667,887641.0508542251,509789.0597152332,741665.253071421,799006.8689035233
2000-04-06,597757.9747889148,1378349.7569796692,307519.90064806555,3335527.104647621,873546.6334182165,1256236.714406296,1715147.967217308,464727.56867793837,889148.1091850515,508509.88394909276,741702.6141254177,795693.7945509753
2000-04-07,594231.4231322588,1365772.0201683345,307344.13849135104,3327880.4573137877,869249.4123874035,1252162.5373215873,1717533.3070777059,464585.55494750617,888458.0256390356,506223.5305615589,739856.6832312312,793392.1794019917
2000-04-10,594443.677595553,1357311.8606453408,306120.7838997358,3319129.5231425297,863973.8780974875,1254518.218468264,1719526.496519745,465363.3393692219,888585.6633335056,506219.36674690276,739313.0184250587,792351.194055743
2000-04-11,597049.8430378546,1357089.7162460377,305652.7231660398,3323245.29702632,860871.4288366322,1258762.7085336235,1726607.1367888069,465883.20067924296,889859.9212475941,506738.84102154116,740227.0749300353,793911.5115160604
2000-04-12,600344.029819087,1360057.5807324455,305861.5339711469,3335041.900451169,861972.3884585819,1263477.9091249711,1732924.9882718918,469066.2577262955,893344.045518385,508425.1355969765,741744.3825467955,797253.856058405
2000-04-13,600488.3540678037,1358449.8946186234,305738.2652064342,3342345.730745174,861509.3469899542,1265346.95029327,1746487.3152335493,468561.2294298273,895077.0245844076,510258.1307456146,739379.5636912776,803086.124228831
